title,rating,year
Le voyage dans la lune,8.2,1902
The Great Train Robbery,7.3,1903
The Birth of a Nation,6.2,1915
Les vampires,7.3,1915
Intolerance: Love's Struggle Throughout the Ages,7.7,1916
Das Cabinet des Dr. Caligari,8,1920
Broken Blossoms or The Yellow Man and the Girl,7.2,1919
Within Our Gates,6.4,1920
Way Down East,7.4,1920
Orphans of the Storm,7.3,1921
Körkarlen,8,1921
La souriante Madame Beudet,6.6,1923
"Dr. Mabuse, der Spieler",7.8,1922
Nanook of the North,7.6,1922
"Nosferatu, eine Symphonie des Grauens",7.9,1922
Häxan,7.6,1922
Foolish Wives,7,1922
Our Hospitality,7.8,1923
La roue,7.5,1923
Der letzte Mann,8,1924
Stachka,7.6,1925
Sherlock Jr.,8.2,1924
The Great White Silence,8,1922
Greed,8.1,1924
The Thief of Bagdad,7.7,1924
The Eagle,6.6,1925
The Phantom of the Opera,7.5,1925
Bronenosets Potemkin,7.9,1925
The Gold Rush,8.1,1925
The Big Parade,7.9,1925
Seven Chances,7.8,1925
Die Abenteuer des Prinzen Achmed,7.8,1926
Metropolis,8.3,1927
Sunrise: A Song of Two Humans,8.1,1927
The General,8.1,1926
The Unknown,7.7,1927
Oktyabr,7.4,1927
The Jazz Singer,6.4,1927
Napoléon vu par Abel Gance,8.2,1927
The Kid Brother,7.6,1927
The Crowd,8.1,1928
The Docks of New York,7.5,1928
La passion de Jeanne d'Arc,8.2,1928
Un chien andalou,7.7,1929
"Steamboat Bill, Jr.",7.8,1928
Potomok Chingis-Khana,7,1928
Prapancha Pash,6.5,1929
Chelovek s kino-apparatom,8.4,1929
Die Büchse der Pandora,7.8,1929
Blackmail,6.9,1929
Little Caesar,7.2,1931
Der blaue Engel,7.7,1930
All Quiet on the Western Front,8.1,1930
L'âge d'or,7.2,1930
Zemlya,7.2,1930
À nous la liberté,7.4,1931
Limite,7.1,1931
Tabu: A Story of the South Seas,7.4,1931
City Lights,8.5,1931
Dracula,7.4,1931
Frankenstein,7.8,1931
The Public Enemy,7.6,1931
M - Eine Stadt sucht einen Mörder,8.3,1931
Le million,7.4,1931
La chienne,7.5,1931
Vampyr,7.4,1932
I Am a Fugitive from a Chain Gang,8.2,1932
Boudu sauvé des eaux,7.3,1932
Love Me Tonight,7.5,1932
Shanghai Express,7.3,1932
Trouble in Paradise,8,1932
Scarface,7.7,1932
Freaks,7.8,1932
Me and My Gal,6.6,1932
42nd Street,7.3,1933
Footlight Parade,7.5,1933
The Bitter Tea of General Yen,6.9,1932
She Done Him Wrong,6.3,1933
Duck Soup,7.8,1933
Zéro de conduite: Jeunes diables au collège,7.2,1933
Gold Diggers of 1933,7.7,1933
King Kong,7.9,1933
Las Hurdes,7.3,1933
Sons of the Desert,7.5,1933
Queen Christina,7.5,1933
Triumph des Willens,7.2,1935
It's a Gift,7.1,1934
Shen nu,7.7,1934
It Happened One Night,8.1,1934
L'Atalante,7.8,1934
The Black Cat,6.9,1934
The Thin Man,7.9,1934
Judge Priest,6.2,1934
Mutiny on the Bounty,7.6,1935
The 39 Steps,7.6,1935
A Night at the Opera,7.8,1935
Bride of Frankenstein,7.8,1935
Captain Blood,7.7,1935
Top Hat,7.7,1935
Peter Ibbetson,6.9,1935
Modern Times,8.5,1936
Swing Time,7.5,1936
Mr. Deeds Goes to Town,7.8,1936
My Man Godfrey,8,1936
Le roman d'un tricheur,7.6,1936
Camille,7.3,1936
Things to Come,6.6,1936
Dodsworth,7.8,1936
Partie de campagne,7.5,1946
Sabotage,7,1936
Pépé le Moko,7.7,1937
Make Way for Tomorrow,8.2,1937
La grande illusion,8.1,1937
Stella Dallas,7.4,1937
Ye ban ge sheng,6.2,1935
Snow White and the Seven Dwarfs,7.6,1937
Captains Courageous,7.9,1937
The Awful Truth,7.7,1937
The Life of Emile Zola,7.2,1937
Jezebel,7.4,1938
The Adventures of Robin Hood,7.9,1938
Angels with Dirty Faces,7.9,1938
La femme du boulanger,7.5,1938
Bringing Up Baby,7.8,1938
Olympia 1. Teil - Fest der Völker,7.8,1938
Olympia 2. Teil - Fest der Schönheit,7.7,1938
The Lady Vanishes,7.8,1938
Wuthering Heights,7.5,1939
Mr. Smith Goes to Washington,8.1,1939
Stagecoach,7.8,1939
Only Angels Have Wings,7.6,1939
Destry Rides Again,7.6,1939
Gone with the Wind,8.2,1939
Le jour se lève,7.7,1939
Gunga Din,7.2,1939
Ninotchka,7.8,1939
The Wizard of Oz,8.1,1939
La règle du jeu,7.9,1939
Zangiku monogatari,7.8,1939
Babes in Arms,6.3,1939
His Girl Friday,7.8,1940
Fantasia,7.7,1940
Rebecca,8.1,1940
The Philadelphia Story,7.9,1940
The Grapes of Wrath,8.1,1940
The Mortal Storm,7.7,1940
The Bank Dick,7.1,1940
Pinocchio,7.5,1940
"Dance, Girl, Dance",6.8,1940
Citizen Kane,8.3,1941
Sergeant York,7.7,1941
The Lady Eve,7.7,1941
The Wolf Man,7.2,1941
High Sierra,7.5,1941
How Green Was My Valley,7.7,1941
Sullivan's Travels,7.9,1941
The Maltese Falcon,8,1941
Dumbo,7.2,1941
The Palm Beach Story,7.5,1942
"Now, Voyager",7.9,1942
To Be or Not to Be,8.2,1942
The Magnificent Ambersons,7.6,1942
Yankee Doodle Dandy,7.6,1942
Mrs. Miniver,7.6,1942
Casablanca,8.5,1942
Cat People,7.2,1942
Fires Were Started,6.5,1943
The Ox-Bow Incident,8,1943
The Life and Death of Colonel Blimp,8,1943
Meshes of the Afternoon,7.9,1943
The Seventh Victim,6.7,1943
The Man in Grey,6.5,1943
Shadow of a Doubt,7.8,1943
Ossessione,7.6,1943
I Walked with a Zombie,7,1943
Laura,7.9,1944
Meet Me in St. Louis,7.5,1944
To Have and Have Not,7.8,1944
Gaslight,7.8,1944
The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,7,1944
Double Indemnity,8.3,1944
"Murder, My Sweet",7.5,1944
Ivan Groznyy,7.7,1944
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,7.8,1958
Mildred Pierce,7.9,1945
Detour,7.3,1945
I Know Where I'm Going!,7.5,1945
The Lost Weekend,7.9,1945
Les enfants du paradis,8.3,1945
San Pietro,6.6,1945
Brief Encounter,8,1945
Roma città aperta,8,1945
Spellbound,7.5,1945
The Best Years of Our Lives,8.1,1946
Paisà,7.6,1946
The Postman Always Rings Twice,7.4,1946
La belle et la bête,7.9,1946
The Killers,7.7,1946
It's a Wonderful Life,8.6,1946
The Big Sleep,7.9,1946
Gilda,7.6,1946
A Matter of Life and Death,8,1946
Great Expectations,7.8,1946
My Darling Clementine,7.7,1946
Notorious,7.9,1946
Black Narcissus,7.7,1947
The Stranger,7.3,1946
Out of the Past,8,1947
Monsieur Verdoux,7.8,1947
Odd Man Out,7.7,1947
The Ghost and Mrs. Muir,7.8,1947
Ladri di biciclette,8.3,1948
Letter from an Unknown Woman,7.9,1948
Secret Beyond the Door...,6.7,1947
Force of Evil,7.2,1948
Xiao cheng zhi chun,7.3,1948
Red River,7.8,1948
The Paleface,6.6,1948
The Snake Pit,7.6,1948
The Lady from Shanghai,7.5,1947
Rope,7.9,1948
The Red Shoes,8.1,1948
The Treasure of the Sierra Madre,8.2,1948
Louisiana Story,6.5,1948
Gun Crazy,7.6,1950
The Reckless Moment,7.1,1949
White Heat,8.1,1949
Adam's Rib,7.5,1949
The Heiress,8.1,1949
The Third Man,8.1,1949
Kind Hearts and Coronets,8,1949
Whisky Galore!,7.1,1949
On the Town,7.3,1949
Orphée,7.9,1950
The Asphalt Jungle,7.8,1950
Rashômon,8.2,1950
All About Eve,8.2,1950
Winchester '73,7.6,1950
Rio Grande,7,1950
Sunset Blvd.,8.4,1950
Los olvidados,8.3,1950
In a Lonely Place,7.9,1950
Ace in the Hole,8.1,1951
Strangers on a Train,7.9,1951
A Streetcar Named Desire,7.9,1951
An American in Paris,7.2,1951
Pandora and the Flying Dutchman,6.9,1951
The African Queen,7.7,1951
A Place in the Sun,7.7,1951
The Lavender Hill Mob,7.5,1951
Journal d'un curé de campagne,7.8,1951
The Day the Earth Stood Still,7.8,1951
The Quiet Man,7.7,1952
Jeux interdits,8,1952
Europa '51,7.4,1952
Singin' in the Rain,8.3,1952
The Bad and the Beautiful,7.8,1952
Ikiru,8.3,1952
Umberto D.,8.2,1952
High Noon,8,1952
Le carrosse d'or,7,1952
Angel Face,7.2,1952
The Big Sky,6.9,1952
Sommaren med Monika,7.5,1953
Pickup on South Street,7.6,1953
The Band Wagon,7.4,1953
Les vacances de Monsieur Hulot,7.3,1953
Madame de...,7.9,1953
Le salaire de la peur,8.2,1953
The Bigamist,6.8,1953
The Naked Spur,7.3,1953
Tôkyô monogatari,8.2,1953
From Here to Eternity,7.6,1953
Ugetsu monogatari,8.2,1953
Viaggio in Italia,7.3,1954
Shane,7.6,1953
Gentlemen Prefer Blondes,7.1,1953
Roman Holiday,8,1953
The Big Heat,7.9,1953
Beat the Devil,6.4,1953
On the Waterfront,8.1,1954
La strada,8,1954
Les diaboliques,8.1,1955
A Star Is Born,7.5,1954
Rear Window,8.5,1954
Senso,7.4,1954
Silver Lode,6.8,1954
The Barefoot Contessa,6.9,1954
Shichinin no samurai,8.6,1954
Sanshô dayû,8.4,1954
Carmen Jones,6.7,1954
Johnny Guitar,7.6,1954
Salt of the Earth,7.3,1954
Seven Brides for Seven Brothers,7.3,1954
Animal Farm,7.2,1954
Lola Montès,7.3,1955
Pather Panchali,8.3,1955
Ordet,8.3,1955
Marty,7.7,1955
Artists and Models,6.5,1955
Rebel Without a Cause,7.6,1955
Les maîtres fous,6.6,1955
Giv'a 24 Eina Ona,5.8,1955
Bad Day at Black Rock,7.7,1955
Nuit et brouillard,8.6,1956
The Phenix City Story,7.2,1955
The Man with the Golden Arm,7.3,1955
Kiss Me Deadly,7.5,1955
Guys and Dolls,7.1,1955
The Night of the Hunter,8,1955
The Ladykillers,7.6,1955
Oklahoma!,7,1955
Sommarnattens leende,7.7,1955
Bob le flambeur,7.6,1956
All That Heaven Allows,7.6,1955
The Man from Laramie,7.3,1955
The Ten Commandments,7.9,1956
The Searchers,7.9,1956
Biruma no tategoto,8,1956
Forbidden Planet,7.5,1956
Written on the Wind,7.4,1956
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.2,1956
Bigger Than Life,7.4,1956
Invasion of the Body Snatchers,7.7,1956
Giant,7.6,1956
The Wrong Man,7.4,1956
High Society,6.9,1956
The Man Who Knew Too Much,7.4,1956
Kumonosu-jô,8.1,1957
Paths of Glory,8.4,1957
An Affair to Remember,7.4,1957
Det sjunde inseglet,8.1,1957
12 Angry Men,9,1957
Smultronstället,8.1,1957
The Incredible Shrinking Man,7.6,1957
Gunfight at the O.K. Corral,7.1,1957
Le notti di Cabiria,8.1,1957
Letyat zhuravli,8.3,1957
Aparajito,8.3,1956
The Bridge on the River Kwai,8.2,1957
Sweet Smell of Success,8,1957
Mother India,7.8,1957
Touch of Evil,8,1958
Gigi,6.6,1958
The Defiant Ones,7.6,1958
Man of the West,7.1,1958
Vertigo,8.3,1958
Popiól i diament,7.8,1958
Bab el hadid,7.5,1958
Jalsaghar,7.9,1958
Mon oncle,7.7,1958
Some Came Running,7.3,1958
Dracula,7.2,1958
Some Like It Hot,8.2,1959
North by Northwest,8.3,1959
Les quatre cents coups,8.1,1959
Pickpocket,7.6,1959
Hiroshima mon amour,7.9,1959
Ride Lonesome,7.1,1959
Orfeu Negro,7.4,1959
Ben-Hur,8.1,1959
Anatomy of a Murder,8,1959
Shadows,7.2,1958
Apur Sansar,8.5,1959
Rio Bravo,8,1959
Ukikusa,7.9,1959
Les yeux sans visage,7.6,1960
Saturday Night and Sunday Morning,7.5,1960
La dolce vita,8,1960
Le trou,8.5,1960
Rocco e i suoi fratelli,8.2,1960
L'avventura,7.8,1960
À bout de souffle,7.7,1960
Spartacus,7.9,1960
The Apartment,8.3,1960
Hanyo,7.3,1960
Meghe Dhaka Tara,7.9,1960
Psycho,8.5,1960
Tirez sur le pianiste,7.4,1960
Peeping Tom,7.6,1960
La maschera del demonio,7.1,1960
The Young One,7.4,1960
Splendor in the Grass,7.7,1961
Viridiana,8.1,1961
La jetée,8.2,1962
Breakfast at Tiffany's,7.6,1961
Lola,7.5,1961
The Exiles,6.7,1961
La notte,8,1961
West Side Story,7.6,1961
The Hustler,8,1961
The Ladies Man,6.3,1961
Såsom i en spegel,8,1961
Chronique d'un été (Paris 1960),7.5,1961
L'année dernière à Marienbad,7.7,1961
One-Eyed Jacks,7.1,1961
Cléo de 5 à 7,7.9,1962
Dog Star Man,6.2,1964
Vivre sa vie: Film en douze tableaux,7.8,1962
Sanma no aji,8.1,1962
Lolita,7.5,1962
The Man Who Shot Liberty Valance,8.1,1962
Heaven and Earth Magic,5.1,1962
Lawrence of Arabia,8.3,1962
To Kill a Mockingbird,8.3,1962
O Pagador de Promessas,8.3,1962
L'eclisse,7.7,1962
Mondo cane,6.2,1962
El ángel exterminador,8,1962
Jules et Jim,7.7,1962
The Manchurian Candidate,7.9,1962
What Ever Happened to Baby Jane?,8,1962
8½,8,1963
The Birds,7.6,1963
Pasazerka,7.4,1963
The Servant,7.8,1963
Flaming Creatures,4.6,1963
Khaneh siah ast,7.8,1963
Hud,7.8,1963
Il gattopardo,8,1963
Vidas Secas,7.5,1963
Shock Corridor,7.3,1963
Le mépris,7.5,1963
Blonde Cobra,3,1963
The Cool World,6.5,1963
The Nutty Professor,6.6,1963
The Great Escape,8.2,1963
Méditerranée,5.9,1963
Yukinojô henge,7.4,1963
The Haunting,7.4,1963
Nattvardsgästerna,8,1963
Goldfinger,7.7,1964
My Fair Lady,7.8,1964
Il deserto rosso,7.5,1964
Suna no onna,8.5,1964
Tini zabutykh predkiv,7.8,1965
Scorpio Rising,6.8,1963
Marnie,7.1,1964
The Masque of the Red Death,6.9,1964
Prima della rivoluzione,6.8,1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
Deus e o Diabo na Terra do Sol,7.2,1964
A Hard Day's Night,7.5,1964
Les parapluies de Cherbourg,7.8,1964
Gertrud,7.3,1964
Mary Poppins,7.8,1964
Onibaba,7.9,1964
Il vangelo secondo Matteo,7.7,1964
Obchod na korze,8.2,1965
Doctor Zhivago,7.9,1965
The War Game,8,1966
Tôkyô orinpikku,7.8,1965
Giulietta degli spiriti,7.5,1965
La battaglia di Algeri,8.1,1966
The Sound of Music,8.1,1965
De man die zijn haar kort liet knippen,6.7,1965
Alphaville: Une étrange aventure de Lemmy Caution,7,1965
Campanadas a medianoche,7.7,1965
"Faster, Pussycat! Kill! Kill!",6.6,1965
Vinyl,4.3,1965
Rekopis znaleziony w Saragossie,7.8,1965
Repulsion,7.6,1965
Pierrot le fou,7.5,1965
Subarnarekha,7.4,1965
Hold Me While I'm Naked,5.3,1966
Who's Afraid of Virginia Woolf?,8,1966
Blow-Up,7.5,1966
Sedmikrásky,7.3,1966
Da zui xia,6.9,1966
Seconds,7.6,1966
"Il buono, il brutto, il cattivo",8.8,1966
Persona,8.1,1966
Au hasard Balthazar,7.8,1966
Masculin féminin,7.4,1966
Report,6.4,1967
2 ou 3 choses que je sais d'elle,6.6,1967
Belle de jour,7.7,1967
Cool Hand Luke,8.1,1967
Playtime,7.8,1967
"Csillagosok, katonák",7.6,1967
The Graduate,8,1967
Point Blank,7.3,1967
Les demoiselles de Rochefort,7.7,1967
Week End,7,1967
Le Samouraï,8,1967
Wavelength,5.4,1967
Ostre sledované vlaky,7.6,1966
Terra em Transe,7.3,1967
In the Heat of the Night,7.9,1967
Marketa Lazarová,7.9,1967
"Horí, má panenko",7.4,1967
The Jungle Book,7.6,1967
Bonnie and Clyde,7.7,1967
Viy,7.2,1967
Hombre,7.4,1967
Gaav,7.9,1969
C'era una volta il West,8.5,1968
Faces (I),7.4,1968
Planet of the Apes,8,1968
Rosemary's Baby,8,1968
If....,7.4,1968
David Holzman's Diary,6.5,1967
Memorias del subdesarrollo,7.6,1968
High School,7.6,1968
Vargtimmen,7.5,1968
2001: A Space Odyssey,8.3,1968
Night of the Living Dead,7.8,1968
Targets,7.3,1968
Skammen,8,1968
The Producers,7.5,1967
Z,8.2,1969
Fellini - Satyricon,6.8,1969
Andrey Rublyov,8.1,1966
Sayat Nova,7.6,1969
Midnight Cowboy,7.8,1969
Butch Cassidy and the Sundance Kid,8,1969
Xia nü,7.5,1971
Easy Rider,7.3,1969
Kes,7.9,1969
Lucía,7.1,1968
In the Year of the Pig,7.4,1968
The Wild Bunch,7.9,1969
Ma nuit chez Maud,7.8,1969
Tristana,7.4,1970
Il conformista,7.9,1970
Le boucher,7.3,1970
El Topo,7.2,1970
Five Easy Pieces,7.4,1970
Deep End,7.2,1970
Strategia del ragno,6.9,1970
Ucho,7.7,1970
Little Big Man,7.6,1970
Patton,7.9,1970
L'uccello dalle piume di cristallo,7.1,1970
M*A*S*H,7.4,1970
Zabriskie Point,6.9,1970
Performance,6.7,1970
Woodstock,8.1,1970
Gimme Shelter,7.8,1970
Il giardino dei Finzi Contini,7.3,1970
Dirty Harry,7.7,1971
A Clockwork Orange,8.3,1971
McCabe & Mrs. Miller,7.6,1971
Le chagrin et la pitié,8.2,1969
Willy Wonka & the Chocolate Factory,7.8,1971
The Devils,7.8,1971
The Hired Hand,7,1971
W.R. - Misterije organizma,6.7,1971
Walkabout,7.6,1971
Klute,7.1,1971
Harold and Maude,7.9,1971
The French Connection,7.7,1971
Még kér a nép,6.8,1972
Get Carter,7.3,1971
Shaft,6.6,1971
Sweet Sweetback's Baadasssss Song,5.5,1971
The Last Picture Show,8,1971
Wanda,7.1,1970
Le souffle au coeur,7.6,1971
Straw Dogs,7.4,1971
Two-Lane Blacktop,7.2,1971
Wake in Fright,7.6,1971
Deliverance,7.7,1972
"Aguirre, der Zorn Gottes",7.8,1972
Cabaret,7.8,1972
Solyaris,8,1972
Viskningar och rop,8,1972
Le charme discret de la bourgeoisie,7.8,1972
The Godfather,9.2,1972
Ultimo tango a Parigi,6.9,1972
Die bitteren Tränen der Petra von Kant,7.6,1972
Fat City,7.3,1972
The Heartbreak Kid,7,1972
Frenzy,7.4,1972
Pink Flamingos,6,1972
Sleuth,8,1972
Super Fly,6.4,1972
The Sting,8.3,1973
La maman et la putain,7.8,1973
High Plains Drifter,7.4,1973
Badlands,7.7,1973
American Graffiti,7.4,1973
Papillon,8,1973
The Long Goodbye,7.5,1973
The Wicker Man,7.5,1973
Enter the Dragon,7.6,1973
Serpico,7.7,1973
Don't Look Now,7.2,1973
La nuit américaine,8,1973
Mean Streets,7.2,1973
Sleeper,7.1,1973
The Exorcist,8.1,1973
F for Fake,7.7,1973
Pat Garrett & Billy the Kid,7.2,1973
Turks fruit,7.1,1973
El espíritu de la colmena,7.8,1973
The Harder They Come,6.9,1972
La planète sauvage,7.7,1973
Amarcord,7.9,1973
The Towering Inferno,7,1974
Bring Me the Head of Alfredo Garcia,7.4,1974
Dersu Uzala,8.2,1975
The Godfather Part II,9,1974
The Conversation,7.8,1974
Zerkalo,8,1975
Chinatown,8.2,1974
A Woman Under the Influence,8.1,1974
